ISBN,Title,Author,Year,Publisher,TotalRating,Subjects,Language
0002005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,9,"['Actresses', 'Fiction']",English
0060973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,2,"['Campaigns', 'History']",English
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,6,"['Influenza', 'History']",English
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,17,"['Chinese fiction', 'Family']",English
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,Health Communications,3,"['Women', 'Conduct of life']",English
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,2,"['Depressions', 'Farm life']",English
0440234743,The Testament,John Grisham,1999,Dell,169,"['Fiction', 'Women missionaries']",English
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,79,"['African American History', 'Ohio']",English
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,13,"['Newspapers', 'Humor']",English
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd,8,"['International Cookery', 'Vegetarian cookery']",English
0439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,2,"['Embarrassment', 'Embarrassment in children']",English
0971880107,Wild Animus,Rich Shapero,2004,Too Far,581,"['Fiction', 'Spiritual life']",English
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,79,"['air safety', 'media relations']",English
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,195,"['Fiction', 'Hundertja hriger Krieg']",English
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,3,"['Linguists', 'Elwin Ransom (Fictitious character)']",English
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,14,"['Fiction', 'Young adults']",English
0425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,3,"['Chocolate industry', 'Cults']",English
3404921038,Wie Barney es sieht.,Mordecai Richler,2002,Lübbe,2,"['Fiction', 'Mathematical models']",German
0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,8,"['Fiction', 'Carmelite Nuns']",English
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,214,"['fiction', 'fiction classics']",English
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,120,"['Race horses', 'Horse racing']",English
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,24,"['Literature', 'Cherokee Indians']",English
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,2,"['Fiction, mystery & detective, women sleuths', 'Zukas, helma (fictitious character), fiction']",English
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,2,"['Mental healing', 'Therapeutic use']",English
0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,8,"['Man-woman relationships', 'Publishing']",English
0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,12,"['Fiction', 'Ice caps']",English
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,36,"['Fiction', 'Women television personalities']",English
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,72,"['Teenage boys', 'Stalking victims']",English
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,71,"['Fiction', 'Police']",English
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,33,"['Women detectives', 'Detective and mystery stories']",English
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,20,"['English Christmas stories', 'Fiction']",English
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,48,"['Rapture (Christian eschatology)', 'Rayford Steele (Fictitious character)']",English
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,133,"['Fiction', 'Legal stories']",English
0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers,4,"['Mental Healing', 'Mind and body']",English
0156047624,All the King's Men,Robert Penn Warren,1982,Harvest Books,3,"['Drama', 'Fiction']",English
0380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books,7,"['Soldiers', 'Fiction']",English
0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket,24,"['fiction', 'western cattle drives']",English
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf,6,"['Sex role', 'Fiction']",English
0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf,4,"['Fiction', 'Sex role']",English
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,3,"['Evolution', 'Behavioral Genetics']",English
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,43,"['Fiction', 'Married people']",English
0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),194,"['Chinese American', 'Chinese American women']",Japanese
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company,2,"['British and irish fiction (fictional works by one author)', 'Africa, fiction']",German
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,9,"['Fiction', 'Man-woman relationships, fiction']",English
0060938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade,9,"['Separation (Psychology)', 'Fiction']",English
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,101,"['criticism', 'interpretation']",English
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,62,"['Race horses', 'Horse racing']",English
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,42,"['Conduct of life', 'Happiness']",English
0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,32,"['Fiction', 'Hugo Award Winner']",English
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,13,"['Social life and customs', 'Detective and mystery stories']",English
1569871213,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll,3,"['Horses', 'Fiction']",English
0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,11,"['Literature', 'Women forensic anthopologists']",English
087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,Atlantic Monthly Press,7,"['Etiquette', 'Humor']",English
0340767936,Turning Thirty,Mike Gayle,2000,Hodder &amp; Stoughton General Division,6,"['Age groups', 'Fiction']",English
0743403843,Decipher,Stel Pavlou,2002,Simon &amp; Schuster (Trade Division),2,"['Atlantis', 'End of the world']",English
0060930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,Perennial,2,"['American Poets', 'Aristocracy (Social class)']",English
0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",243,"['fictional works', 'Runaway teenagers']",English
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro,13,"['Elves', 'Dwarves']",Spanish
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro,7,"['Ents', 'Orcs']",Spanish
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,Distribooks,7,"['Elves', 'Hobbits']",Spanish
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,107,"['Social life and customs', 'Trials (Murder)']",English
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,55,"['Fiction', 'Witnesses']",English
0312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press,9,"['Divorced women', 'Detective and mystery stories']",English
0312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press,14,"['Interpersonal communication', 'Women linguists']",English
0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books,6,"['Social life and customs', 'Description and travel']",English
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,42,"['Rich people', 'Personal Finance']",English
0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,87,"['White Ship', 'The Anarchy']",English
0553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam,4,"['Biography', ""McDonald's (Firm)""]",English
0671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,Fireside,2,"['Personal Finance', 'Wealth']",English
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,34,"['Fiction', 'World War, 1939-1945']",English
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,242,"['Rainforests', 'prisoners of war']",English
0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek,6,"['Space and time', 'Fiction']",English
0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket,3,"['Reading Level-Grade 9', 'Reading Level-Grade 11']",English
0440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996,Dell,2,"['Fiction', 'Babylon 5 (Television program)']",English
0312953453,Blood Oath,David Morrell,1994,St. Martin's Press,4,"['Revenge', 'Fiction']",English
0446608653,The Alibi,Sandra Brown,2000,Warner Books,20,"['murder trials', 'Legal stories']",English
0446612545,The Beach House,James Patterson,2003,Warner Books,104,"['Fiction', 'Brothers']",English
0446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books,10,"['Divorced women', 'Fiction']",English
0451208080,The Short Forever,Stuart Woods,2003,Signet Book,16,"['Private investigators', 'Detective and mystery stories']",English
0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,24,"['Conspiracies', 'Dam failures']",English
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,269,"['heparin', 'ambigrams']",English
0812575954,The Deal,Joe Hutsko,2000,Tor Books (Mm),4,"['Computer industry', 'Fiction']",English
0316735736,All He Ever Wanted: A Novel,Anita Shreve,2003,Back Bay Books,16,"['Married people', 'Fiction']",English
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,32,"['Murder', 'Case studies']",English
0345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991,Ballantine Books,2,"['Chicago tribune', 'Humor']",English
0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),15,"['Fiction', 'Americans']",English
0451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996,Onyx Books,2,"['Fiction, general']",English
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,95,"['Little House on the Prairie', 'psychological fiction']",English
0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,Free Press,7,"['Cardsharping', 'Massachusetts Institute of Technology']",English
0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,36,"['Intelligence service', 'Jack Ryan (Fictitious character)']",English
0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,Random House,5,"['Correspondence', 'Reeve, christopher, 1952-2004']",English
9724119378,O Deus Das Pequenas Coisas,Roy,1998,Edicoes Asa,3,,unknown
0451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,Signet Book,2,"['Fiction, Romance, Historical, Regency', 'Anthology']",English
