ISBN,Year,Subjects,Publisher,Language
0395193958,1987,"['The Lord of the Rings', 'Fiction']",Houghton Mifflin Company,English
089471838X,1990,,Running Pr,English
0679821481,1991,"['Stories in rhyme', ""Children's stories, American""]",Random House,English
0842377506,1993,"['Fiction, christian, romance', 'Rome, fiction']",Tyndale House,English
0044409494,1995,"['Entertainers, united states', 'Postcards']",HarperSanFrancisco,English
1560255102,2003,"['Politics and government', 'Civil rights']",Nation Books,English
1558532854,1994,"['Fiction, general']",Rutledge Hill Press,English
1563054671,1994,"['Zen Buddhism', 'Quotations, maxims']",Workman Publishing,English
1565548353,2000,"['Catalogs', 'Postcards']",Pelican Publishing Company,English
1888054557,2001,"['Postcards', 'Collectors and collecting']",Collectors Press,English
0394800893,1989,"['Toleration', 'Conduct of life']",Grolier,English
0373790651,2002,"['Private investigators', 'Stalking victims']",Harlequin,English
0679722017,1989,"['Correspondence', 'Translations into Chinese']",Vintage,English
1571456988,2001,"['Curiosities and wonders', 'American wit and humor']",Bathroom Readers' Press,English
0395282659,1979,"['Fantasy', 'Arkenstone']",Houghton Mifflin Company,English
0394831292,1975,"['Imagination, fiction', ""Children's fiction""]",Beginner Books,Chinese
0836213319,1996,"['Caricatures and cartoons', 'Pctorial American wit and humar']",Andrews Mcmeel Pub,English
0439425220,2002,"['Potter, harry (fictitious character)', 'Postcards, juvenile literature']",Scholastic,English
0385480334,1996,"['autobiographies', 'ethnic relations']",Anchor Books/Doubleday,English
0048230871,1973,"['The Lord of the Rings', 'Fiction']",George Allen and Unwin,English
0671743481,1987,"['Spanish language, dictionaries, english']",Pocket Books,English
0590464639,1993,"[""Children's stories, American"", 'Pumpkin']",Cartwheel Books,English
0898702682,1989,"['Christian women saints', 'Fiction']",Ignatius Press,English
1931543380,2003,"['Blank-books', 'Knitting']",Sixth&Spring Books,English
0312110839,1994,"['Fiction', 'Young women']",St. Martin's Press,English
0064400972,1979,"['Friendship', 'Juvenile fiction']",HarperTrophy,English
096265342X,1991,"['American wit and humor', 'Spirituality']",IllumiNet Press,English
0312992416,2004,"['Sherrilyn Kenyon', 'Fiction']",St. Martin's Press,English
2290312924,2002,"['Reading Level-Grade 9', 'Reading Level-Grade 8']",J'ai lu,French
0394823370,1971,"['Stories in rhyme', ""Children's stories""]",Random House,English
096268743X,1994,,Star's Edge International,English
0064401111,2000,"['Social life and customs', 'Juvenile fiction']",HarperTrophy,English
1571458506,2002,"['Science', 'Miscellanea']",Portable Press,English
3548224911,1993,"['comic science fiction', 'Vogons']",Ullstein,German
3608935428,2000,"['Ents', 'Orcs']",Klett-Cotta,German
1573247022,2001,"['Food habits', 'Food of animal origin']",Conari Press,English
0684803763,1995,"['Psychology', 'Serial murderers']",Scribner,English
1583940537,2001,"['Fiction', 'Spanish language materials']","Frog, Ltd.",English
1566191432,2001,"['Fiction, Romance, Historical, Regency', 'British and Irish fiction (fictional works by one author)']",Barnes & Noble,English
0394800389,1993,"[""Children's fiction"", 'Humorous stories']","Beginner Books, a division of Random House, Inc.",Chinese
0345418913,2005,"['comic science fiction', 'Vogons']",Ballantine Books,English
0694003611,1991,"[""Children's fiction"", 'Picture books']",HarperFestival,German
0060256656,2000,"[""Children's poetry, American"", 'Fiction']",HarperCollinsPublishers,English
0312099045,1993,['United states highway 66'],St. Martin's Griffin,English
0618002235,1994,"['Ents', 'Orcs']",Houghton Mifflin Co.,English
0440977096,1987,"['Fiction, general', 'Friendship, fiction']",Dell,French
0553212427,1986,,Bantam Books,English
0395645662,1993,"['Social control', 'Control (Psychology)']",Houghton Mifflin,English
0684842319,1998,"['Health and hygiene', 'Psychology']",Simon & Schuster,English
0152023984,1943,"['adventure', 'fantasy']",Reynal & Hitchcock,English
3499224623,1999,"['New York Times bestseller', 'nyt:paperback_graphic_books=2012-01-07']",Rowohlt Tb.,German
3458171703,2003,"['Mothers and sons', 'Verschollenheit']",Insel Verlag,German
0765343266,2002,"['Fiction, fantasy, general', 'Young women, fiction']",Tor Fantasy,English
006019250X,1998,"['Translations into Indonesian', 'Voyages and travels']",HarperFlamingo,English
3499224615,1999,"['New York Times bestseller', 'nyt:paperback_graphic_books=2011-09-17']",Rowohlt Tb.,German
0486268659,1991,"[""Children's fiction"", 'Toy and movable books']",Dover Publications,English
0060194995,1999,"['fiction', 'fiction classics']",HarperCollins Publishers,English
0849912970,2001,"['Meditations', 'Christian life']",W Publishing Group,English
0807068195,1993,"['Women authors', 'American poetry']",DefaultBrand,English
0762409533,2001,"['Illustrations', 'Postcards']",Running Press Book Publishers,English
0395071224,1966,"['Fantasy', 'Arkenstone']",Houghton Mifflin,English
0689859368,2003,"['Fairies Fiction', 'Fantasy Fiction']","Simon Schuster Books for Young Readers [New York, NY]",English
0064400980,1979,"['Fiction', 'Friendship']",HarperTrophy,English
017443460X,2000,"['Drama', 'King Lear (Legendary character)']",Thomson Learning,English
0877799156,1996,"['Scrabble (Game)', 'Glossaries, vocabularies']",Merriam-Webster,English
031286860X,1999,"['Child soldiers', 'Child soldiers in fiction']",Tor,English
0307010368,1984,"['Fairy tales', 'Folklore']",Golden Press,English
1561840564,1997,"['Philosophy', 'Eight-circuit model of consciousness']",New Falcon Publications,English
0020868308,1960,"['Apologetics', 'Doctrinal Theology']",Macmillan Pub. Co.,English
0618002243,1994,"['Elves', 'Hobbits']",Houghton Mifflin Company,English
0064405036,1994,"['Juvenile Fiction', 'Science Fiction & Fantasy']",HarperTrophy,English
0140320970,1986,"['Ballooning', 'Balloons']",Puffin Books,English
0425189058,2003,"['Romance', 'Fiction']",Berkley,English
0140434674,1998,"['Fiction, Romance, Historical, Regency', 'Love stories, English']",Penguin Books,English
014050639X,1986,"[""Children's fiction"", 'Stories in rhyme']",Puffin,English
0064430170,1997,"[""Children's fiction"", 'Picture books']",HarperTrophy,English
1558538445,2000,"['Songs and music', 'Books on compact disc']",Rutledge Hill Press,English
1568650108,2001,"['Fantasy fiction', 'Science fiction']",Guild America Books,English
1570624097,2001,"['Doctrines', 'Buddhism']",Shambhala,English
1558530711,1992,"['Humor', 'Letter writing']",Rutledge Hill Press,English
1573220426,1996,"['Physicians', 'Filosofía']",Riverhead Books,English
0440430909,1986,"['Fiction', 'Swamps']",Dell,English
3551551936,2000,"['orphans', 'foster homes']",Carlsen,German
0684818701,1997,"['Cooking', 'American Cooking']",Scribner,und
0395259398,1967,"['Steam shovels', 'Fiction']",Scholastic,English
059098182X,1999,"['Divorce', 'plane crash']","Scholastic Inc., by arrangement with Viking Penguin, a div. of Penguin Books USA, Inc.",English
1551669056,2002,"['Correspondence', 'Married women']",MIRA,English
2895400644,2003,,Les 400 coups,French
0898861098,1985,"['Bicycle touring', 'Recreation']",Mountaineers Books,English
0929239571,1983,"['English', 'Lent']",Bible Reading Fellowship,English
0316108677,1994,"['Comic books, strips, etc.']","Little, Brown",English
0843951532,2003,['American Horror tales'],Dorchester Publ. Co.,English
0060964057,1989,"['Fiction', 'Lesbians']",Harper & Row,English
0836218221,1990,"['Cartoons', 'Comic books, strips']",Andrews and McMeel,English
0060927488,1996,"['New Age movement', 'Course in miracles']",HarperCollins,English
1410729435,2003,,1st Books Library,English
0345298748,1983,"['Science Fiction', 'Fiction']",Ballantine Books,English
0618249060,2002,"['Pesticides', 'Biological control']",Houghton Mifflin,Spanish
0679601686,1996,"['Fiction, Romance, Historical, Regency', 'British and Irish fiction (fictional works by one author)']",Modern Library,English
0515101486,1989,"['Fiction', 'Police']",Jove,English
0060609176,1994,"['Person and offices', 'Historicity']",HarperSanFrancisco,English
0152802177,1993,"['owls', 'Juvenile Fiction']",Harcourt Brace Jovanovich,English
0316150363,1989,"['Women dog owners', 'Dogs']","Little, Brown",English
0373871589,2001,"['Fiction, romance, general']",Steeple Hill,English
0761128182,2004,['Knitting'],Workman Publishing Company,English
0747264880,2004,,Headline Book Publishing,English
0020264763,1992,"['Fiction', 'Triangles (Interpersonal relations)']",Collier Books,English
0836220889,1987,"['Hobbes (Fictitious character)', 'Calvin (Fictitious character : Watterson)']","Andrews, McMeel & Parker",English
8478885196,2007,"['Fantasy fiction', 'orphans']",Salamandra,Spanish
0062509594,1995,"['Persian Sufi poetry', 'Translations into English']",Harper,English
0345318587,1984,"['Fantasy', 'Arkenstone']",Ballantine Books,English
0198117477,1988,"['English literature: Shakespeare texts', 'Classics']",Clarendon Press,English
0380002558,1999,"['Toys', 'Fiction']",Avon,English
0394809378,1968,"['Toy and movable books', ""Children's stories, American""]",Perfection Learning,Chinese
0451128389,1983,"['carbon monoxide', 'greasers']",New American Library,English
0380542625,1981,"['Case studies', 'Child psychopathology']",Avon,English
067162461X,1989,"['fiction', 'western cattle drives']",Pocket Books,English
0553212419,1986,"['catalepsy', 'amyl nitrate']",Bantam Books,English
0312872402,2003,"['Courts and courtiers', 'Fiction']",Tor,English
950491036X,2003,"['Mothers and sons', 'Verschollenheit']",Planeta,Spanish
0743454529,2004,"['Jodi Picoult', 'Movie Tie-in']",Atria Books,English
1551669501,2002,"['Fiction, Romance, Contemporary', 'Man-woman relationships, fiction']",Harlequin Books,English
0385326335,1999,"['Fiction', 'Juvenile fiction']",Delacorte Press,English
3442441080,1998,,Wilhelm Goldmann Verlag GmbH,German
0811824829,2000,,Chronicle Books,English
0307336565,1983,"['Identification', 'Birds']",Golden Press,English
1563892057,1996,"['Literature', 'Comic books, strips']",DC Comics/Vertigo,English
0736909672,2002,"['Female friendship', 'Fiction']",Harvest House Publishers,English
0553213601,1981,"['Drama', 'History']",Bantam Books,English
0517559501,1985,"['Drama', 'Fiction']",Harmony Books,English
078691551X,2000,"['Fantasy games', 'Dungeons and dragons (Game)']",Wizards of the Coast,English
038549422X,1999,"['Toleration', 'Diaries']",Broadway Books,English
0823401898,1971,"['Adventure and adventurers, fiction', ""Children's fiction""]",Holiday House,English
014032724X,1988,"['Divorce', 'plane crash']",Puffin Books,English
0553242954,1986,"['Fiction', 'Juvenile fiction']",Bantam Books,English
067084487X,1992,"['Fairy tales', 'Short stories']",Viking,English
0140434267,1996,"['Fiction, Romance, Historical, Regency', 'British and Irish fiction (fictional works by one author)']",Penguin Books,English
044012929X,1991,"['Fiction', 'Satire']",Dell,English
0786915528,2000,"['Fantasy games', 'Dungeons & Dragons 3e (Pen-&-Paper-RPG)']",Wizards of the Coast,English
1561483176,2001,"['Slow Electric cooking', 'Electric cooking, slow']",Good Books,English
0743219333,2002,"['Midwives', 'Personal Narratives']",Scribner,English
0440404908,1991,"[""Children's fiction"", 'Vacations, fiction']",Dell,English
0312141440,1996,"['Brothers and sisters', 'Fiction']",St. Martin's Griffin,English
0425103285,1987,"['Flannigan, Katherine Mary', ""Children's fiction""]",Berkley,English
0394800184,1960,"['French language', 'Readers']",Beginner Books,English
0931432820,1991,"['Aromatherapy', 'Essences and essential oils']",New World Library,English
3551551693,2000,"['Fantasy fiction', 'orphans']",Carlsen,German
2070524558,1999,"['series:Harry_Potter', 'Fantasy fiction']",Gallimard Jeunesse,French
0394800796,1957,"['Christmas stories.sh', 'Pictorial works']",Random House,English
0671526022,1983,"['Fiction & Literature', 'Blacks']",Washington Square Press published by Pocket Books,English
0446532444,2004,"['American Novelists', 'Families']",Warner Books,English
0140143505,1990,"['American Authors', 'Biography']",Penguin Books,English
0812533550,1986,"['New York Times bestseller', 'nyt:mass_market_paperback=2011-07-30']",Tor,English
0743444477,2003,"['Fiction, romance, general', 'Fiction, sagas']",Simon & Schuster,English
0141301058,1998,"['Open Library Staff Picks', 'Roald Dahl']",Puffin Books,English
1563891336,1994,"['Fiction', 'Death (Fictitious character : Gaiman)']",DC Comics,English
0066238501,2005,"['Fantasy fiction', 'Fiction']",HarperCollins,English
1563893339,1997,"['Graphic novels', 'Death (Fictitious character : Gaiman)']",DC Comics,English
067154683X,1984,"['autobiographies', 'ethnic relations']",Pocket,English
1573222453,2003,"['New York Times bestseller', 'nyt:trade_fiction_paperback=2008-10-26']",Riverhead publisher,English
0812504577,1989,"['Frankenstein (Fictitious character)', ""Frankenstein's monster (Fictitious character)""]",Tom Doherty Assoc Llc,Portuguese
0553240749,1982,"['contemporary fiction', 'literary fiction']",Bantam Books,English
0865714088,2000,"['Automobiles', 'Social aspects']",New Society Publishers,English
0316107549,1990,"['Cartoons and comics', 'Bloom county (Comic strip)']","Little, Brown",English
0684835770,1996,"['Literature', 'Collections']",Simon & Schuster,English
0765345013,2003,"['Magic', 'Fiction']",Tor Books,English
0380012774,1965,"['British and irish drama (dramatic works by one author)', 'English life']",Avon Books,English
0345296052,1983,"['Elves', 'Dwarves']",Ballantine Books,Bulgarian
0451458222,2001,"['College students', 'Fiction']",ROC,English
0060263857,1980,"['Farm life', 'Animals']",HarperCollins,English
1577780728,1999,"['Persecution', 'Christian martyrs']",Albury Pub.,English
3522128001,1979,"['Imaginary Voyages', 'Bien y mal']",Thienemann,German
0345339738,1986,"['Elves', 'Hobbits']",Ballantine Books,English
0140122060,1989,"['Crime Mysteries', 'Historical Fiction']",Penguin Books,English
0373790988,2003,"['Fiction, romance, general']",Harlequin,English
0316286850,1999,"['Care and hygiene', 'Personal Beauty']","Little, Brown",English
0060263954,1945,"['Voyages and travels', 'Mice']",HarperCollins,English
067942895X,1994,"['American poetry', 'Women authors']",Random House,English
0141181230,1999,"['Alegorías', 'Buddha (The concept)']",Penguin Books,English
0375804013,1999,"[""Children's Media Tie-In Books"", 'Children’s Board Books']",Random House Books for Young Readers,English
0060256672,2014,"['Shel', 'Silverstein']",Harper Collins Publishers,English
0670032557,2003,"['sociopaths', 'dissociative identity disorder']",Viking Adult,French
0792274512,1999,"['Identification', 'Birds']",National Geographic,English
0316284610,2002,"['Vietnamese Conflict, 1961-1975', 'Vietnam War, 1961-1975']",Back Bay Books,English
0609606425,2001,"['Voyages and travels', 'Journeys']",Crown,English
0374371520,1999,"[""Children's fiction"", 'Interpersonal relations, fiction']",Farrar Straus Giroux,English
0440238137,2003,"['Political theology', 'Polar bears']",Laurel-Leaf Books,English
0451456734,2000,"['Fantasy', 'Fiction']",ROC,English
0375802118,1997,"['Fantasy', 'Juvenile literature']",Knopf,English
0060275103,2003,"['fiction', 'Juvenile Fiction - Fairy Tales & Folklore - Adaptations']",HarperCollinsPublishers,English
0898799112,1999,"['Authorship', 'Publishers and publishing']",Writer's Digest Books,English
0812565495,1999,"['Fiction, fantasy, general', 'Newford (imaginary place), fiction']",Tor Fantasy,English
0446515043,1990,"['Fiction, thrillers, espionage', 'New jersey, fiction']",Warner Books,English
072253955X,1999,"['Compassion (Buddhism)', 'Buddhism']",Thorsons,English
0345384385,1993,"['American Science fiction', 'Star Wars fiction']",Del Rey,English
0307010856,1993,"[""Children's Media Tie-In Books"", 'Children’s Board Books']",Western Publishing Company,English
0486414108,2001,"['Textual Criticism', 'Biography']",Dover Publications,English
0671447483,1982,"['Women pioneers', 'History']",Simon & Schuster,English
0962959170,1998,"['Self-culture', 'Home schooling']",Lowry House Pub,English
067086871X,1997,"['Rhyme, lincoln (fictitious character), fiction', 'Sachs, amelia (fictitious character), fiction']",Viking,English
0671670050,1989,"['collectionID:Mbodice_ripper, fiction', 'Fiction, Romance, Historical, Medieval']",Pocket Books,English
0140275363,1998,"['great_books_of_the_western_world', 'Poetry']",Penguin Books,English
0451459407,2003,"['Fiction', 'Wizards']",,English
0310254752,2003,"['Apologetics', 'Resurrection']",Zondervan,English
0451450965,1992,"['Ghost stories', 'Fiction, science fiction, general']",ROC,English
0679736301,1991,"['Mentally ill', 'Schizophrenics']",Vintage Books,English
0807281956,2008,"['series:Harry_Potter', 'Ghosts']",Midwest Tape,English
0345284259,1979,"['Pern', 'Dragons']",Del Rey,German
0451402383,1999,"['Fiction, Romance, Historical', 'Large type books']",Signet Book,English
0449214265,1989,"['Inquisition', 'Fiction']",Fawcett Crest,English
0451458338,2001,"['Fiction', 'Fionavar (Imaginary place)']",ROC,English
0345360338,1989,"['History', 'Fiction']",Ballantine Books,English
0590023764,1999,"['Fiction', 'Practical Politics']",Scholastic,English
0060950536,1995,"['Natural Birth Control', 'Pregnancy Achievement']",HarperCollins,English
340412846X,1998,,Lübbe,German
0399147888,2002,"['Military History', 'Fiction']",G.P. Putnam's Sons,English
0786851473,2004,"['science fiction', 'Secuestro']",Miramax,English
0316702757,2003,"['Stepfamilies', 'College choice in fiction']","Little, Brown",English
0394815009,1996,"['letters', 'numbers']",Alfred A. Knopf,English
0380709597,1999,"['family', 'siblings']",Avon Books,English
0156012197,2000,"['adventure', 'fantasy']",HMH Books for Young Readers,English
0553274325,1989,"['Fiction', 'World War, 1914-1918']",Bantam Books,English
0889740224,1981,"['Nootka women', 'Fiction']",Press Gang Publishers,English
0385314388,1994,"['Loss (Psychology)', 'Psychological aspects']",Delta Trade Paperbacks,English
0517693119,1989,"['comic science fiction', 'Vogons']",Wings Books,English
0156004801,1996,"['Drama', 'Fiction']",Harcourt Brace,English
0060254920,1967,"['Caldecott Medal', 'Dreams']",Bodley Head,Korean
0312957572,1996,"['Fiction, action & adventure', 'Egypt, fiction']",St Martin's Paperbacks,English
0740721984,2002,"['Comic books, strips', 'Pictorial American wit and humor']",Andrews McMeel Pub.,English
0671744577,1992,"['Fiction', 'Historical Romance']",Pocket Star Books,English
0373835280,2002,"['Man-woman relationships', 'Romance fiction']",Harlequin,English
0374516812,2000,"['Horror stories', 'Rites and ceremonies']","Farrar, Straus and Giroux",English
0064440044,1957,"['Mothers and sons', 'Madres e hijos']",,Japanese
0671741039,1987,"['Science fiction', 'Fiction']",Pocket Books,English
0066214769,2003,"['Fiction', 'Egyptologists']",William Morrow,English
0684823780,1996,"['Apologetics', 'Doctrinal Theology']",Simon & Schuster,English
0836218663,1991,"['Calvin and Hobbes (Fictitious characters)', 'Comic books, strips']",Andrews and McMeel,English
0836218981,1992,"['Stuffed animals (Toys)', 'Families']",Andrews and McMeel,English
0064409422,2000,"['the Blitz', 'fauns']",HarperCollins,Ukrainian
0836217691,1994,"['Juvenile fiction', 'Calvin and Hobbes (Fictitious characters)']",Andrews and McMeel,English
0671876465,1994,"['Hugo Award Winner', 'award:hugo_award=novel']",Baen,English
0931580587,1996,"['Moral conditions', 'Crimes without victims']",Prelude Press,English
0689711522,1986,"['Fantasy', 'Fiction']",Aladdin Paperbacks,und
0020418809,1970,"['tomboys', 'Adolescence & Coming of Age']",Collier Books,English
0440174643,1977,"['Blacks', 'History']",Dell,English
0192816209,1982,"['adventure and adventurers', 'adventure and adventurers, fiction']",Oxford University Press,English
0140346406,1991,"['humorous stories', 'animals']",Penguin,English
0451166361,1987,"['memory plays', 'autobiographical drama']",New American Library,English
0345440056,2002,"['Fiction, mystery & detective, general', 'Fiction, historical']",Ballantine Books,English
0345368924,1991,"['Fiction', 'Pern (Imaginary place)']",Ballantine Books,English
0671641778,1987,"['Trojan War', 'Trojan War. fast (OCoLC)fst01157294']",Simon and Schuster,English
0671553038,1997,"['Women physicians, fiction', 'Fiction, medical']",Pocket Books,English
0441006841,2000,"['Anita Blake (Fictitious character)', 'Vampires']",ACE Books,English
0307001164,1996,"['Dalmatian dog', 'Dogs']",Golden Book,English
0743410068,2002,"['Correspondence', 'American letters']",Washington Square Press,English
0440218039,1996,"['Peter Pascoe (Fictitious character)', 'Andrew Dalziel (Fictitious character)']",Dell,English
0099429284,1998,"['Detective and mystery stories', 'Organized crime']",Arrow,English
0553204564,1981,"['Veterinarians', 'Biography']",Bantam Doubleday Dell,English
0060937319,2001,"['nyt:paperback_nonfiction=2010-05-16', 'New York Times bestseller']",Perennial Classics,English
0679419616,1995,"['Miscellanea', 'Conduct of life']",Villard Books,English
0671456547,1992,"['American politics', 'Presidentes']",Simon & Schuster,English
156341029X,1993,"['gay', 'Coming out (Sexual orientation)']",Firebrand Books,English
0886774543,1989,"['Vows and Honor', 'Fantasy fiction']",DAW,English
0486250334,1986,['Postcards'],Dover Publications,English
067003116X,2002,"['September 11 Terrorist Attacks, 2001', 'New York (N.Y.). Fire Dept']",Viking,English
0618129081,2002,"['Ents', 'Orcs']",Houghton Mifflin Company,English
0156001454,1995,"['Iditarod (Race)', 'Open Library Staff Picks']",Harcourt Brace,English
8420636282,1997,"['adventure', 'fantasy']",Libro de Bolsillo,Spanish
0849916739,2000,"['Bullying', 'Conduct of life']",Word,English
0446612766,2003,"['Fiction', 'Serial murders']",,English
