date,load_min,load_mean,load_max
2022-07-01,5637.5,7090.7,8458.3
2022-07-02,4860.6,5731.0,6688.3
2022-07-03,4474.4,5576.9,6403.5
2022-07-04,4887.6,6141.8,7056.7
2022-07-05,4813.5,5709.2,6611.0
2022-07-06,4698.8,5714.0,6589.8
2022-07-07,5052.8,6470.3,7530.0
2022-07-08,5232.7,6367.7,7423.1
2022-07-09,4699.1,5593.3,6498.5
2022-07-10,4421.1,5513.0,6330.5
2022-07-11,5119.9,6717.9,7848.7
2022-07-12,5408.5,6806.3,7845.9
2022-07-13,5455.7,6975.3,8252.8
2022-07-14,5507.6,7064.6,8379.4
2022-07-15,5443.8,6687.5,7901.9
2022-07-16,4846.9,5691.8,6619.4
2022-07-17,4476.0,5579.0,6383.8
2022-07-18,5166.7,6799.6,8133.6
2022-07-19,5408.6,7081.5,8500.0
2022-07-20,5462.4,7036.0,8312.1
2022-07-21,5474.7,7087.4,8474.6
2022-07-22,5487.9,6842.8,8314.8
2022-07-23,4784.2,5759.1,6735.4
2022-07-24,4442.4,5567.9,6381.0
2022-07-25,4896.4,6471.8,7572.6
2022-07-26,5150.5,6441.2,7487.2
2022-07-27,4998.6,6318.1,7321.2
2022-07-28,4900.5,6234.6,7230.9
2022-07-29,4835.8,6082.4,7181.6
2022-07-30,4471.6,5310.0,6317.3
2022-07-31,4208.6,5214.6,6135.4
2022-08-01,4546.4,6081.1,7194.1
2022-08-02,4823.6,6228.9,7285.0
2022-08-03,4812.7,6306.9,7406.7
2022-08-04,4879.9,6349.0,7460.4
2022-08-05,4843.2,6274.2,7431.3
2022-08-06,4616.7,5355.6,6303.2
2022-08-07,4194.5,5237.0,6079.1
2022-08-08,4726.2,6366.4,7511.1
2022-08-09,5024.0,6505.1,7654.6
2022-08-10,5160.0,6580.1,7687.4
2022-08-11,5154.6,6596.6,7755.5
2022-08-12,5148.8,6491.9,7660.0
2022-08-13,4782.3,5638.7,6582.4
2022-08-14,4575.5,5624.5,6525.0
2022-08-15,5159.9,6846.2,8095.6
2022-08-16,5425.9,6959.9,8111.5
2022-08-17,5478.5,7045.2,8240.1
