date,CB_apparent_temperature_mean,CB_apparent_temperature_max,CB_apparent_temperature_min,CB_precipitation_sum,CB_rain_sum,CB_pressure_msl_mean,CB_cloud_cover_max,CB_dew_point_2m_mean,NB_apparent_temperature_mean,NB_apparent_temperature_max,NB_apparent_temperature_min,NB_precipitation_sum,NB_rain_sum,NB_pressure_msl_mean,NB_cloud_cover_max,NB_dew_point_2m_mean,SB_apparent_temperature_mean,SB_apparent_temperature_max,SB_apparent_temperature_min,SB_precipitation_sum,SB_rain_sum,SB_pressure_msl_mean,SB_cloud_cover_max,SB_dew_point_2m_mean,SM_apparent_temperature_mean,SM_apparent_temperature_max,SM_apparent_temperature_min,SM_precipitation_sum,SM_rain_sum,SM_pressure_msl_mean,SM_cloud_cover_max,SM_dew_point_2m_mean,NM_apparent_temperature_mean,NM_apparent_temperature_max,NM_apparent_temperature_min,NM_precipitation_sum,NM_rain_sum,NM_pressure_msl_mean,NM_cloud_cover_max,NM_dew_point_2m_mean
2022-07-01,21.279676,27.19886,15.525938,11.999999,11.999999,1014.70844,100.0,17.239584,22.750711,28.18446,16.304008,13.7,13.7,1014.94147,100.0,17.288248,19.707254,25.459244,11.768038,3.1,3.1,1015.50397,100.0,15.606251,26.50191,32.718216,18.86459,1.4,1.4,1012.98755,100.0,17.929165,27.065804,33.55667,19.16716,13.2,13.2,1012.51666,100.0,17.710417
2022-07-02,17.763597,24.123472,11.58126,0.1,0.1,1023.89594,100.0,11.585418,18.72832,23.565058,11.789192,0.2,0.2,1023.7708,61.0,12.532001,15.978771,22.318373,9.464572,0.0,0.0,1024.1542,61.0,10.272917,18.189972,22.336664,13.380283,0.3,0.3,1023.01245,100.0,12.2854185,17.055246,20.577526,14.812275,0.8000001,0.8000001,1023.17914,100.0,13.466667
2022-07-03,20.364752,27.68843,11.545122,0.0,0.0,1019.17914,100.0,13.306251,20.916094,28.12413,12.332468,0.0,0.0,1019.2791,65.0,14.619499,20.792519,28.942207,12.843452,0.0,0.0,1019.41675,87.0,14.327085,21.438078,29.044605,13.523487,0.0,0.0,1019.35834,76.0,13.360417,20.344542,27.040209,13.583359,0.2,0.2,1019.7708,100.0,14.358333
2022-07-04,21.989183,28.043358,16.418526,0.0,0.0,1017.09174,100.0,14.902084,23.008224,27.580536,16.478706,0.0,0.0,1017.37085,100.0,14.594499,21.744165,28.572945,14.8571,0.0,0.0,1017.53326,100.0,15.429168,23.47746,32.544964,15.71673,0.0,0.0,1016.84576,100.0,13.845834,23.421219,30.814987,15.075514,0.0,0.0,1016.7542,100.0,14.64375
2022-07-05,20.775162,25.069527,17.277628,0.0,0.0,1018.41254,100.0,13.652083,21.039637,25.427895,16.956684,0.0,0.0,1018.9416,100.0,12.098666,19.101284,24.075453,15.995575,12.400001,12.400001,1018.6958,100.0,15.310417,20.059626,22.565151,15.757483,10.400001,10.400001,1017.325,100.0,16.054167,19.762907,21.468506,17.402197,17.7,17.7,1017.53754,100.0,16.529165
2022-07-06,17.52408,20.456661,13.581295,0.3,0.3,1020.4959,100.0,10.7375,17.309595,21.425833,13.271511,0.2,0.2,1020.9499,100.0,10.450749,17.106848,22.588737,12.073727,0.3,0.3,1020.41254,100.0,11.968751,18.204035,24.22827,14.04003,0.0,0.0,1019.1291,100.0,11.039584,18.106558,23.764122,14.294773,4.0,4.0,1019.0791,100.0,13.677082
2022-07-07,14.388283,17.394121,11.736422,0.9000001,0.9000001,1019.5623,100.0,10.04375,15.013496,18.592049,11.034066,8.099999,8.099999,1019.40424,100.0,11.66325,13.883639,16.082119,10.867223,5.7999997,5.7999997,1020.05426,100.0,10.516667,16.30684,20.352621,12.052841,0.8,0.8,1018.696,100.0,10.764584,16.211678,20.778196,10.105619,0.5,0.5,1018.5999,100.0,10.89375
2022-07-08,13.91739,17.036983,11.131842,2.9999995,2.9999995,1025.2167,100.0,10.804166,14.542882,17.506706,11.768593,1.0000001,1.0000001,1025.3793,100.0,11.5007515,12.159665,14.870081,9.847894,7.799999,7.799999,1025.6626,100.0,10.327085,15.576675,18.337393,13.016987,0.8000001,0.8000001,1022.72076,100.0,11.308333,15.841813,19.209908,13.300997,2.2,2.2,1021.94586,100.0,12.060417
2022-07-09,15.615258,21.342382,11.5519495,1.5000001,1.5000001,1023.71246,100.0,11.900001,15.635956,18.531403,11.106379,2.8999999,2.8999999,1023.69586,100.0,12.563251,14.499036,19.02218,10.184081,4.5999994,4.5999994,1024.4958,100.0,10.758334,16.309473,21.496567,11.679274,1.2,1.2,1022.59595,100.0,10.0125,16.245285,21.344992,11.9771805,0.9000001,0.9000001,1021.7458,100.0,10.293751
2022-07-10,12.241548,13.623371,10.891087,0.8000001,0.8000001,1020.4834,100.0,8.522917,13.019525,15.898064,10.606239,0.3,0.3,1020.4709,100.0,9.421585,12.19891,14.581055,11.19144,1.6000001,1.6000001,1020.7249,100.0,9.13125,12.805782,15.778818,10.656365,0.0,0.0,1018.8376,100.0,7.9500003,12.9845085,15.819799,11.151021,2.2,2.2,1017.84174,100.0,9.177084
2022-07-11,14.010814,17.991112,10.27664,0.0,0.0,1021.0542,100.0,7.527084,15.004506,20.28812,9.118836,0.0,0.0,1021.1084,100.0,8.702833,12.779873,16.800922,8.343805,0.3,0.3,1021.56244,100.0,7.954167,13.593598,17.805244,9.383205,0.2,0.2,1020.2334,100.0,6.479166,13.181576,17.321085,9.037013,1.5,1.5,1019.4583,100.0,8.608334
2022-07-12,15.550495,20.464382,9.666759,0.1,0.1,1022.7959,100.0,8.722917,16.6132,21.564503,10.379194,0.0,0.0,1022.81665,100.0,10.211167,15.1896105,18.557308,10.1623125,0.2,0.2,1023.2126,100.0,9.052084,15.142728,20.83098,9.140027,0.0,0.0,1021.76666,100.0,7.5416665,14.969964,18.37672,10.189642,0.3,0.3,1020.5042,100.0,9.008332
2022-07-13,20.209759,27.007708,12.538881,0.0,0.0,1020.38324,100.0,10.1125,21.160028,28.70385,11.752125,0.0,0.0,1020.25006,100.0,12.148667,18.726076,26.270924,9.084174,0.0,0.0,1021.82495,100.0,10.825001,20.159073,27.41395,12.229574,0.0,0.0,1020.4084,99.0,8.752082,20.00992,26.668377,12.568089,0.0,0.0,1018.9915,100.0,9.8875
2022-07-14,21.916344,26.61308,18.125824,0.5,0.5,1016.35004,100.0,12.704167,21.910246,26.212662,17.444347,3.7,3.7,1016.71246,100.0,15.119502,22.25678,28.870941,14.982063,0.5,0.5,1016.72485,100.0,12.654167,24.260065,30.76728,17.726793,0.2,0.2,1015.7334,100.0,11.4645815,22.045881,27.576164,16.647953,2.6,2.6,1015.35834,100.0,12.752083
2022-07-15,15.3672905,18.212202,10.757111,0.0,0.0,1019.5667,100.0,8.822917,14.72667,17.83533,9.562123,0.1,0.1,1019.81244,100.0,8.759085,16.616133,19.838196,13.051197,0.70000005,0.70000005,1019.3957,100.0,10.729167,17.17888,21.196768,12.95285,2.0,2.0,1018.1208,100.0,8.947917,17.490908,19.97222,14.165714,1.5,1.5,1017.4917,100.0,10.545832
2022-07-16,15.199005,18.076427,11.082956,0.0,0.0,1020.45416,100.0,7.8374996,15.438451,19.090551,11.146094,0.0,0.0,1020.53754,100.0,9.132,15.535603,20.199171,10.932092,0.0,0.0,1020.7,98.0,9.379168,16.241585,21.689758,9.7741165,0.0,0.0,1019.83325,100.0,7.3645825,15.29697,19.634762,8.785468,3.6999998,3.6999998,1019.5291,100.0,8.737499
2022-07-17,15.758122,22.587784,7.258172,0.0,0.0,1026.0043,96.0,7.0916667,15.934826,23.043667,7.706155,0.0,0.0,1026.1459,90.0,7.8695006,16.28692,22.61219,8.629517,0.0,0.0,1025.921,100.0,8.635418,16.645853,23.152302,9.2345,0.0,0.0,1025.4417,100.0,5.5958333,15.415116,20.496078,9.002221,0.0,0.0,1025.2208,100.0,8.095834
2022-07-18,19.181305,27.551628,9.787327,0.0,0.0,1024.6918,100.0,9.049998,21.418821,27.97596,12.631193,0.0,0.0,1024.6918,100.0,9.50075,18.780565,26.827278,8.911096,0.0,0.0,1024.8623,100.0,9.26875,19.424217,27.850494,8.998658,0.0,0.0,1024.7916,100.0,6.4395833,18.222464,26.59065,9.039086,0.0,0.0,1025.0084,100.0,9.345834
2022-07-19,23.998634,32.920326,14.080755,0.0,0.0,1021.11676,41.0,11.664582,26.230963,33.33929,18.361767,0.0,0.0,1021.1584,94.0,12.198666,22.5544,30.629707,12.804752,0.0,0.0,1021.65826,23.0,12.720833,23.583284,31.214325,14.091843,0.0,0.0,1021.61255,40.0,9.266667,22.181335,30.619362,12.433329,0.0,0.0,1021.6667,69.0,11.529166
2022-07-20,26.08577,34.02418,16.20374,0.0,0.0,1018.6833,100.0,11.535417,27.749428,34.470192,18.876919,0.0,0.0,1019.0166,100.0,12.498668,23.47822,31.770699,15.050964,0.0,0.0,1018.7751,91.0,11.383334,26.313461,33.067158,18.826933,0.0,0.0,1019.6541,100.0,10.029166,25.005598,33.25655,15.304726,0.0,0.0,1020.1792,81.0,13.208335
2022-07-21,24.628881,32.622196,18.227385,2.6,2.6,1017.8874,100.0,13.860414,25.768747,31.826649,19.70993,3.2,3.2,1018.1416,100.0,16.446583,23.595543,30.977715,15.906889,1.5,1.5,1018.7624,100.0,14.802083,27.39829,34.550835,19.292608,0.0,0.0,1017.42084,100.0,12.668751,26.628311,34.959034,17.259817,0.0,0.0,1017.76245,100.0,15.345832
2022-07-22,25.57915,31.88535,19.32181,0.0,0.0,1017.5,100.0,14.172914,25.58568,32.105118,18.54484,0.0,0.0,1017.79596,81.0,15.3861685,25.071175,31.046417,17.529188,0.0,0.0,1018.3667,99.0,16.339582,27.755838,34.2272,21.374414,0.3,0.3,1017.2959,100.0,13.960416,26.967346,33.018177,19.397713,3.3999999,3.3999999,1017.16254,100.0,15.727084
2022-07-23,23.468855,30.10989,19.624058,9.400001,9.400001,1016.0999,100.0,15.468749,23.666624,30.532196,19.793148,0.7,0.7,1016.60834,100.0,15.904918,23.925219,29.323746,20.054619,0.90000004,0.90000004,1016.56665,100.0,15.252084,26.86971,33.319023,22.490046,0.6,0.6,1015.3,100.0,13.479167,25.581064,34.565636,19.592834,14.299999,14.299999,1015.71265,100.0,17.26875
