date,CB_apparent_temperature_mean,CB_apparent_temperature_max,CB_apparent_temperature_min,CB_precipitation_sum,CB_rain_sum,CB_pressure_msl_mean,CB_cloud_cover_max,CB_dew_point_2m_mean,NB_apparent_temperature_mean,NB_apparent_temperature_max,NB_apparent_temperature_min,NB_precipitation_sum,NB_rain_sum,NB_pressure_msl_mean,NB_cloud_cover_max,NB_dew_point_2m_mean,SB_apparent_temperature_mean,SB_apparent_temperature_max,SB_apparent_temperature_min,SB_precipitation_sum,SB_rain_sum,SB_pressure_msl_mean,SB_cloud_cover_max,SB_dew_point_2m_mean,SM_apparent_temperature_mean,SM_apparent_temperature_max,SM_apparent_temperature_min,SM_precipitation_sum,SM_rain_sum,SM_pressure_msl_mean,SM_cloud_cover_max,SM_dew_point_2m_mean,NM_apparent_temperature_mean,NM_apparent_temperature_max,NM_apparent_temperature_min,NM_precipitation_sum,NM_rain_sum,NM_pressure_msl_mean,NM_cloud_cover_max,NM_dew_point_2m_mean
2026-04-09,4.0917196,9.38652,-0.8721874,0.0,0.0,1023.1458,100.0,-5.2114854,3.4488504,9.242401,-2.5237675,0.0,0.0,1023.4834,100.0,-4.4370613,2.9774435,7.806838,-2.7898016,0.0,0.0,1022.80005,100.0,-3.947909,2.439259,8.040983,-2.5576954,0.0,0.0,1022.3167,66.0,-4.5512958,0.730251,3.6465406,-1.8032804,0.0,0.0,1022.92487,100.0,-2.1584241
2026-04-10,1.0995635,4.568919,-1.1978321,0.5,0.4,1018.7124,100.0,-1.5255996,-0.19373602,3.1244998,-2.1447332,1.8000002,1.1,1018.92084,100.0,-1.5529875,0.7826064,4.7873793,-3.3040183,6.0,6.0,1018.6458,100.0,-0.06522557,0.8073563,3.8309126,-3.8373568,0.0,0.0,1019.1292,100.0,-2.9564438,2.124845,6.8694057,-2.8778157,0.0,0.0,1018.8208,100.0,-4.011188
2026-04-11,4.656947,10.608427,-2.3671136,0.0,0.0,1017.3708,100.0,-1.9063139,4.582416,11.669983,-2.2741103,0.0,0.0,1017.3562,100.0,-1.1718944,4.2490115,10.700302,-2.142387,0.0,0.0,1017.1385,100.0,-0.54577833,4.17044,9.575134,-1.0874217,0.0,0.0,1017.31354,100.0,-1.274337,3.3460314,7.1953983,1.1358466,0.0,0.0,1017.4343,100.0,-0.91712767
2026-04-12,4.7201247,9.149867,0.17933273,0.4,0.4,1015.8665,100.0,0.009030153,4.9757423,8.353328,1.8561354,0.7,0.7,1016.33325,100.0,0.29598066,4.4469934,9.427542,-0.635829,0.0,0.0,1014.57495,100.0,0.07440061,4.7576556,9.311263,-0.83488417,0.0,0.0,1016.98755,100.0,-0.9284044,4.3601155,9.900843,-2.59178,0.0,0.0,1018.1792,100.0,-1.1794549
2026-04-13,8.7166605,13.900545,5.0038776,3.0000002,2.7,1011.92914,100.0,4.1830525,7.7733383,10.691566,5.2089186,5.0999994,4.7999997,1012.7624,100.0,5.45221,7.575851,12.364704,5.5826273,0.0,0.0,1011.0125,100.0,4.443874,7.381952,10.1735935,4.8030367,0.0,0.0,1014.27094,100.0,1.0558468,9.043081,14.420023,4.1033487,0.3,0.0,1015.46674,100.0,1.9242765
2026-04-14,11.068389,16.558407,6.482457,2.1,1.2000002,1012.6448,100.0,7.370638,11.773967,16.901413,7.2319374,2.7000003,1.5000002,1013.1458,100.0,8.110248,9.2627325,12.935995,6.771487,0.3,0.0,1011.74585,100.0,6.7407684,12.860852,17.334047,8.240847,0.3,0.3,1013.0105,100.0,6.3994827,11.447552,17.607407,6.407814,0.0,0.0,1014.6187,100.0,5.8002434
2026-04-15,12.66607,18.757132,7.339946,0.3,0.0,1021.02924,85.0,9.285276,13.355132,19.66749,9.222751,0.0,0.0,1021.37085,86.0,9.419751,11.780297,16.969296,7.3334913,1.5,0.0,1021.35004,96.0,8.382627,13.640504,18.45865,8.6222725,1.5000001,0.0,1020.2708,100.0,10.478563,11.221768,16.000956,6.3935375,0.0,0.0,1020.6416,95.0,6.8686333
2026-04-16,10.884838,15.170969,7.034129,0.0,0.0,1023.9573,100.0,7.5899944,10.52759,15.886036,6.540822,0.0,0.0,1024.2489,100.0,8.009414,10.315668,14.006235,7.7640743,0.6,0.0,1023.8708,100.0,8.394874,11.534383,15.795763,6.960969,0.3,0.0,1022.4822,100.0,6.928913,9.901224,15.310938,5.381173,0.0,0.0,1023.0251,100.0,4.555538
2026-04-17,10.854905,14.333727,6.520481,0.0,0.0,1021.8166,100.0,5.3502574,10.193889,16.187574,4.368395,0.0,0.0,1021.7249,100.0,6.1804047,9.720105,13.298824,7.2015467,0.0,0.0,1021.9749,100.0,5.5918884,10.739648,14.952,5.7565804,0.0,0.0,1020.98334,100.0,5.4942994,11.227074,15.633961,6.9030943,0.0,0.0,1020.72504,100.0,4.1023593
2026-04-18,12.454209,19.029518,7.4265966,0.0,0.0,1015.321,100.0,5.678343,12.590724,17.345863,8.063281,0.0,0.0,1014.92084,100.0,8.62614,10.38847,17.306074,4.6341505,0.0,0.0,1015.67914,100.0,5.6426625,11.482446,17.724817,5.243973,0.0,0.0,1016.1794,100.0,5.8041873,13.351952,19.233608,7.6303205,0.0,0.0,1016.22076,100.0,4.667203
